Number,Name,Type1,Type2,Total,Attack,Defense,SP Attack,SP Defense,Speed,Weight,Ability1,Ability2,AbilityHA,Possible Moves
0232,Donphan,Ground,,500,90,120,120,60,60,120.0 kg (264.6 lbs),Sturdy,,Sand Veil,"Ancient Power, Assurance, Body Press, Body Slam, Bulldoze, Charm, Counter, Defense Curl, Dig, Earth Power, Earthquake, Encore, Endeavor, Endure, Facade, Fire Fang, Fissure, Focus Energy, Fury Attack, Giga Impact, Growl, Gunk Shot, Head Smash, Heavy Slam, Helping Hand, High Horsepower, Horn Attack, Hyper Beam, Hyper Voice, Ice Fang, Ice Shard, Ice Spinner, Iron Defense, Iron Head, Knock Off, Mud Shot, Mud-Slap, Play Rough, Poison Jab, Protect, Rain Dance, Rapid Spin, Rest, Rock Slide, Rock Tomb, Rollout, Sandstorm, Scary Face, Seed Bomb, Slam, Sleep Talk, Smart Strike, Snore, Stealth Rock, Stomping Tantrum, Stone Edge, Substitute, Sunny Day, Take Down, Tera Blast, Thief, Thunder Fang, Trailblaze"
0233,Porygon2,Normal,,515,85,80,90,105,95,32.5 kg (71.7 lbs),Trace,Download,Analytic,"Aerial Ace, Agility, Blizzard, Charge Beam, Conversion, Conversion 2, Defense Curl, Discharge, Double Team, Dream Eater, Endure, Facade, Flash, Giga Impact, Hyper Beam, Ice Beam, Icy Wind, Iron Tail, Lock-On, Magic Coat, Magnet Rise, Protect, Psybeam, Psych Up, Psychic, Rain Dance, Recover, Recycle, Rest, Shadow Ball, Shock Wave, Sleep Talk, Solar Beam, Spark, Substitute, Sunny Day, Swagger, Swift, Tackle, Thief, Thunder, Thunder Shock, Thunder Wave, Thunderbolt, Tri Attack, Trick Room, Zap Cannon, Zen Headbutt"
0234,Stantler,Normal,,465,73,95,62,85,65,71.2 kg (157.0 lbs),Intimidate,Frisk,Sap Sipper,"Agility, Astonish, Bite, Body Slam, Bulldoze, Calm Mind, Charge Beam, Confuse Ray, Confusion, Dig, Disable, Double Kick, Double-Edge, Earth Power, Earthquake, Endure, Energy Ball, Extrasensory, Facade, Giga Impact, Helping Hand, Hyper Beam, Hypnosis, Imprison, Leer, Light Screen, Megahorn, Protect, Psybeam, Psychic, Psyshield Bash, Psyshock, Rain Dance, Reflect, Rest, Role Play, Sand Attack, Scary Face, Shadow Ball, Skill Swap, Sleep Talk, Solar Beam, Spite, Stomp, Stored Power, Substitute, Sunny Day, Swift, Tackle, Take Down, Tera Blast, Thief, Thrash, Thunder, Thunder Wave, Thunderbolt, Trailblaze, Trick, Trick Room, Wild Charge, Zen Headbutt"
0235,Smeargle,Normal,,250,55,20,35,20,45,58.0 kg (127.9 lbs),Own Tempo,Technician,Moody,Sketch
0236,Tyrogue,Fighting,,210,35,35,35,35,35,21.0 kg (46.3 lbs),Guts,Steadfast,Vital Spirit,"Attract, Brick Break, Bulk Up, Bulldoze, Bullet Punch, Counter, Double Team, Earthquake, Endure, Facade, Fake Out, Feint, Focus Energy, Helping Hand, High Jump Kick, Low Sweep, Mach Punch, Mind Reader, Protect, Rain Dance, Rapid Spin, Rest, Rock Slide, Rock Smash, Sleep Talk, Strength, Substitute, Sunny Day, Swagger, Tackle, Thief, Vacuum Wave, Work Up"
0237,Hitmontop,Fighting,,455,50,95,95,35,110,48.0 kg (105.8 lbs),Intimidate,Technician,Steadfast,"Aerial Ace, Agility, Attract, Brick Break, Bulk Up, Bulldoze, Bullet Punch, Close Combat, Counter, Detect, Dig, Double Team, Earthquake, Endeavor, Endure, Facade, Fake Out, Feint, Focus Blast, Focus Energy, Gyro Ball, Helping Hand, High Jump Kick, Low Sweep, Mach Punch, Mind Reader, Protect, Quick Attack, Quick Guard, Rain Dance, Rapid Spin, Rest, Revenge, Rock Slide, Rock Smash, Sandstorm, Sleep Talk, Stone Edge, Strength, Substitute, Sucker Punch, Sunny Day, Swagger, Tackle, Thief, Triple Kick, Vacuum Wave, Wide Guard, Work Up"
0238,Smoochum,Ice,Psychic,305,45,30,15,85,65,6.0 kg (13.2 lbs),Oblivious,Forewarn,Hydration,"Attract, Avalanche, Blizzard, Calm Mind, Confusion, Copycat, Covet, Double Team, Dream Eater, Endure, Facade, Fake Out, Fake Tears, Flash, Fling, Grass Knot, Hail, Ice Beam, Ice Punch, Lick, Light Screen, Mean Look, Nasty Plot, Payback, Perish Song, Pound, Powder Snow, Protect, Psych Up, Psychic, Rain Dance, Recycle, Reflect, Rest, Role Play, Shadow Ball, Sing, Skill Swap, Sleep Talk, Substitute, Swagger, Sweet Kiss, Thief, Trick Room, Water Pulse, Wish"
0239,Elekid,Electric,,360,45,63,37,65,55,23.5 kg (51.8 lbs),Static,,Vital Spirit,"Attract, Brick Break, Charge, Charge Beam, Cross Chop, Discharge, Double Team, Dynamic Punch, Endure, Facade, Feint, Fire Punch, Flash, Fling, Focus Punch, Hammer Arm, Ice Punch, Leer, Light Screen, Low Kick, Protect, Psychic, Quick Attack, Rain Dance, Rest, Rock Smash, Screech, Shock Wave, Sleep Talk, Spark, Substitute, Swagger, Swift, Thief, Thunder, Thunder Punch, Thunder Shock, Thunder Wave, Thunderbolt, Volt Switch"
0240,Magby,Fire,,365,45,75,37,70,55,21.4 kg (47.2 lbs),Flame Body,,Vital Spirit,"Attract, Belch, Belly Drum, Brick Break, Clear Smog, Confuse Ray, Cross Chop, Double Team, Dynamic Punch, Ember, Endure, Facade, Fire Blast, Fire Punch, Flame Wheel, Flamethrower, Flare Blitz, Fling, Focus Energy, Focus Punch, Iron Tail, Lava Plume, Leer, Low Kick, Mach Punch, Mega Punch, Overheat, Poison Gas, Power Swap, Protect, Psychic, Rest, Rock Smash, Scary Face, Screech, Sleep Talk, Smog, Smokescreen, Substitute, Sunny Day, Swagger, Tackle, Thief, Thunder Punch, Will-O-Wisp"
0241,Miltank,Normal,,490,95,80,105,40,70,75.5 kg (166.4 lbs),Thick Fat,Scrappy,Sap Sipper,"Attract, Belch, Blizzard, Body Slam, Brick Break, Bulldoze, Charm, Curse, Defense Curl, Double Team, Double-Edge, Earthquake, Endure, Facade, Fling, Focus Blast, Focus Punch, Giga Impact, Growl, Gyro Ball, Hammer Arm, Headbutt, Heal Bell, Helping Hand, High Horsepower, Hyper Beam, Ice Beam, Iron Tail, Milk Drink, Play Rough, Present, Protect, Psych Up, Rain Dance, Rest, Reversal, Rock Slide, Rock Smash, Rock Tomb, Rollout, Sandstorm, Seismic Toss, Shadow Ball, Shock Wave, Sleep Talk, Solar Beam, Stealth Rock, Stomp, Strength, Substitute, Sunny Day, Surf, Swagger, Tackle, Thunder, Thunder Wave, Thunderbolt, Water Pulse, Work Up, Zen Headbutt"
0242,Blissey,Normal,,540,255,10,10,75,135,46.8 kg (103.2 lbs),Natural Cure,Serene Grace,Healer,"Avalanche, Baby-Doll Eyes, Blizzard, Body Slam, Brick Break, Bulldoze, Calm Mind, Charm, Chilling Water, Copycat, Covet, Dazzling Gleam, Defense Curl, Disarming Voice, Double-Edge, Drain Punch, Draining Kiss, Earthquake, Echoed Voice, Electric Terrain, Endure, Facade, Fairy Wind, Fire Blast, Fire Punch, Flamethrower, Fling, Focus Blast, Giga Impact, Grass Knot, Gravity, Heal Bell, Heal Pulse, Healing Wish, Helping Hand, Hyper Beam, Hyper Voice, Ice Beam, Ice Punch, Icy Wind, Last Resort, Life Dew, Light Screen, Metronome, Pound, Present, Protect, Psychic, Rain Dance, Rest, Rock Slide, Rock Tomb, Sandstorm, Seismic Toss, Shadow Ball, Sing, Skill Swap, Sleep Talk, Snowscape, Soft-Boiled, Solar Beam, Stealth Rock, Stomping Tantrum, Stored Power, Substitute, Sunny Day, Sweet Kiss, Swift, Tackle, Tail Whip, Take Down, Tera Blast, Thief, Thunder, Thunder Punch, Thunder Wave, Thunderbolt, Trailblaze, Trick, Water Pulse, Wild Charge, Zen Headbutt"
0243,Raikou,Electric,,580,90,85,75,115,100,178.0 kg (392.4 lbs),Pressure,,Inner Focus,"Bite, Bulldoze, Calm Mind, Charge, Charge Beam, Crunch, Cut, Dig, Discharge, Double Team, Endure, Extrasensory, Extreme Speed, Facade, Flash, Giga Impact, Howl, Hyper Beam, Iron Tail, Leer, Light Screen, Protect, Psych Up, Quick Attack, Rain Dance, Reflect, Rest, Rising Voltage, Roar, Rock Climb, Rock Smash, Sandstorm, Scald, Shadow Ball, Shock Wave, Sleep Talk, Snarl, Spark, Strength, Substitute, Sunny Day, Swagger, Thunder, Thunder Fang, Thunder Shock, Thunder Wave, Thunderbolt, Volt Switch, Zap Cannon"
0244,Entei,Fire,,580,115,115,85,90,75,198.0 kg (436.5 lbs),Pressure,,Inner Focus,"Bite, Bulldoze, Calm Mind, Crunch, Cut, Dig, Double Team, Ember, Endure, Eruption, Extrasensory, Extreme Speed, Facade, Fire Blast, Fire Fang, Flame Wheel, Flamethrower, Flash, Giga Impact, Hyper Beam, Iron Tail, Lava Plume, Leer, Overheat, Protect, Psych Up, Rain Dance, Reflect, Rest, Roar, Rock Climb, Rock Smash, Sacred Fire, Sandstorm, Scary Face, Scorching Sands, Shadow Ball, Sleep Talk, Smokescreen, Snarl, Solar Beam, Stomp, Stone Edge, Strength, Substitute, Sunny Day, Swagger, Will-O-Wisp"
0245,Suicune,Water,,580,100,75,115,90,115,187.0 kg (412.3 lbs),Pressure,,Inner Focus,"Air Slash, Avalanche, Bite, Blizzard, Brine, Bulldoze, Calm Mind, Crunch, Cut, Dig, Dive, Double Team, Endure, Extrasensory, Extreme Speed, Facade, Giga Impact, Gust, Hail, Helping Hand, Hydro Pump, Hyper Beam, Ice Beam, Ice Fang, Icy Wind, Iron Tail, Leer, Mirror Coat, Mist, Protect, Psych Up, Rain Dance, Reflect, Rest, Roar, Rock Climb, Rock Smash, Round, Sandstorm, Scald, Shadow Ball, Sheer Cold, Sleep Talk, Snarl, Snore, Substitute, Sunny Day, Surf, Swagger, Swift, Tailwind, Water Gun, Water Pulse, Waterfall, Weather Ball, Whirlpool"
0246,Larvitar,Rock,Ground,300,50,64,50,45,50,72.0 kg (158.7 lbs),Guts,,Sand Veil,"Ancient Power, Assurance, Bite, Body Slam, Brick Break, Bulldoze, Crunch, Curse, Dark Pulse, Dig, Dragon Dance, Earth Power, Earthquake, Endure, Facade, Focus Energy, Giga Impact, Helping Hand, Hyper Beam, Iron Defense, Iron Head, Leer, Mud Shot, Mud-Slap, Outrage, Payback, Protect, Rain Dance, Rest, Rock Blast, Rock Slide, Rock Throw, Rock Tomb, Sandstorm, Scary Face, Screech, Sleep Talk, Smack Down, Snarl, Stealth Rock, Stomp, Stomping Tantrum, Stone Edge, Substitute, Sunny Day, Tackle, Take Down, Taunt, Tera Blast, Thrash"
0247,Pupitar,Rock,Ground,410,70,84,70,65,70,152.0 kg (335.1 lbs),Shed Skin,,,"Aerial Ace, Ancient Power, Assurance, Bite, Body Slam, Brick Break, Bulldoze, Crunch, Curse, Dark Pulse, Dig, Dragon Dance, Earth Power, Earthquake, Endure, Facade, Focus Energy, Giga Impact, Helping Hand, Hyper Beam, Iron Defense, Iron Head, Leer, Mud Shot, Mud-Slap, Outrage, Payback, Protect, Rain Dance, Rest, Rock Blast, Rock Slide, Rock Throw, Rock Tomb, Sandstorm, Scary Face, Screech, Sleep Talk, Smack Down, Snarl, Stealth Rock, Stomp, Stomping Tantrum, Stone Edge, Substitute, Sunny Day, Tackle, Take Down, Taunt, Tera Blast, Thrash"
0248,Tyranitar,Rock,Dark,600,100,134,110,95,100,202.0 kg (445.3 lbs),Sand Stream,,Unnerve,"Aerial Ace, Ancient Power, Assurance, Avalanche, Bite, Blizzard, Body Press, Body Slam, Brick Break, Bulldoze, Crunch, Curse, Dark Pulse, Dig, Dragon Claw, Dragon Dance, Dragon Pulse, Dragon Tail, Earth Power, Earthquake, Endure, Facade, Fire Blast, Fire Fang, Fire Punch, Flamethrower, Fling, Focus Blast, Focus Energy, Foul Play, Giga Impact, Heavy Slam, Helping Hand, Hydro Pump, Hyper Beam, Ice Beam, Ice Fang, Ice Punch, Icy Wind, Iron Defense, Iron Head, Leer, Low Kick, Mud Shot, Mud-Slap, Outrage, Payback, Power Gem, Protect, Rain Dance, Rest, Rock Blast, Rock Slide, Rock Throw, Rock Tomb, Sandstorm, Scary Face, Screech, Shadow Claw, Sleep Talk, Smack Down, Snarl, Stealth Rock, Stomp, Stomping Tantrum, Stone Edge, Substitute, Sunny Day, Surf, Tackle, Take Down, Taunt, Tera Blast, Thrash, Thunder, Thunder Fang, Thunder Punch, Thunder Wave, Thunderbolt"
0248,Tyranitar,Rock,Dark,700,100,164,150,95,120,202.0 kg (445.3 lbs),Sand Stream,,Unnerve,"Aerial Ace, Ancient Power, Assurance, Avalanche, Bite, Blizzard, Body Press, Body Slam, Brick Break, Bulldoze, Crunch, Curse, Dark Pulse, Dig, Dragon Claw, Dragon Dance, Dragon Pulse, Dragon Tail, Earth Power, Earthquake, Endure, Facade, Fire Blast, Fire Fang, Fire Punch, Flamethrower, Fling, Focus Blast, Focus Energy, Foul Play, Giga Impact, Heavy Slam, Helping Hand, Hydro Pump, Hyper Beam, Ice Beam, Ice Fang, Ice Punch, Icy Wind, Iron Defense, Iron Head, Leer, Low Kick, Mud Shot, Mud-Slap, Outrage, Payback, Power Gem, Protect, Rain Dance, Rest, Rock Blast, Rock Slide, Rock Throw, Rock Tomb, Sandstorm, Scary Face, Screech, Shadow Claw, Sleep Talk, Smack Down, Snarl, Stealth Rock, Stomp, Stomping Tantrum, Stone Edge, Substitute, Sunny Day, Surf, Tackle, Take Down, Taunt, Tera Blast, Thrash, Thunder, Thunder Fang, Thunder Punch, Thunder Wave, Thunderbolt"
0249,Lugia,Psychic,Flying,680,106,90,130,90,154,216.0 kg (476.2 lbs),Pressure,,Multiscale,"Aerial Ace, Aeroblast, Ancient Power, Avalanche, Blizzard, Brine, Bulldoze, Calm Mind, Charge Beam, Defog, Double Team, Dragon Pulse, Dragon Rush, Dream Eater, Dual Wingbeat, Earthquake, Endure, Extrasensory, Facade, Flash, Fly, Future Sight, Giga Drain, Giga Impact, Gust, Hail, Hydro Pump, Hyper Beam, Ice Beam, Iron Tail, Light Screen, Mist, Protect, Psych Up, Psychic, Rain Dance, Recover, Reflect, Rest, Roar, Rock Smash, Roost, Safeguard, Sandstorm, Scale Shot, Shadow Ball, Shock Wave, Skill Swap, Sky Attack, Sleep Talk, Steel Wing, Strength, Substitute, Sunny Day, Surf, Swagger, Thunder, Thunder Wave, Thunderbolt, Water Pulse, Waterfall, Weather Ball, Whirlwind"
0250,Ho-oh,Fire,Flying,680,106,130,90,110,154,199.0 kg (438.7 lbs),Pressure,,Regenerator,"Aerial Ace, Ancient Power, Bulldoze, Burn Up, Calm Mind, Charge Beam, Defog, Double Team, Dream Eater, Dual Wingbeat, Earthquake, Endure, Extrasensory, Facade, Fire Blast, Flamethrower, Flash, Fly, Future Sight, Giga Drain, Giga Impact, Gust, Hyper Beam, Life Dew, Light Screen, Overheat, Pluck, Protect, Psych Up, Psychic, Rain Dance, Recover, Reflect, Rest, Roar, Rock Smash, Roost, Sacred Fire, Safeguard, Sandstorm, Scorching Sands, Shadow Ball, Shock Wave, Sky Attack, Sleep Talk, Solar Beam, Steel Wing, Strength, Substitute, Sunny Day, Swagger, Thunder, Thunder Wave, Thunderbolt, Weather Ball, Whirlwind, Will-O-Wisp"
0251,Celebi,Psychic,Grass,600,100,100,100,100,100,5.0 kg (11.0 lbs),Natural Cure,,,"Aerial Ace, Ancient Power, Baton Pass, Calm Mind, Charge Beam, Confusion, Cut, Dazzling Gleam, Double Team, Dream Eater, Dual Wingbeat, Endure, Energy Ball, Expanding Force, Facade, Flash, Fling, Future Sight, Giga Drain, Giga Impact, Grass Knot, Grassy Glide, Heal Bell, Healing Wish, Hyper Beam, Leaf Storm, Leech Seed, Life Dew, Light Screen, Magical Leaf, Nasty Plot, Perish Song, Protect, Psych Up, Psychic, Rain Dance, Recover, Reflect, Rest, Safeguard, Sandstorm, Shadow Ball, Shock Wave, Skill Swap, Sleep Talk, Solar Beam, Stealth Rock, Substitute, Sunny Day, Swagger, Swords Dance, Thunder Wave, Trick Room, U-turn, Water Pulse"
0252,Treecko,Grass,,310,40,45,35,65,55,5.0 kg (11.0 lbs),Overgrow,,Unburden,"Absorb, Aerial Ace, Assurance, Attract, Brick Break, Bullet Seed, Crunch, Crush Claw, Cut, Detect, Dig, Double Kick, Double Team, Dragon Breath, Drain Punch, Endeavor, Endure, Energy Ball, Facade, Flash, Fling, Focus Punch, Giga Drain, Grass Knot, Grassy Terrain, Iron Tail, Leaf Storm, Leafage, Leech Seed, Leer, Magical Leaf, Mega Drain, Night Slash, Pound, Protect, Quick Attack, Quick Guard, Rest, Rock Slide, Rock Smash, Rock Tomb, Safeguard, Screech, Slam, Slash, Sleep Talk, Solar Beam, Strength, Substitute, Sunny Day, Swagger, Swords Dance, Synthesis, Work Up, Worry Seed"
0253,Grovyle,Grass,,405,50,65,45,85,65,21.6 kg (47.6 lbs),Overgrow,,Unburden,"Absorb, Aerial Ace, Assurance, Attract, Brick Break, Bullet Seed, Crunch, Crush Claw, Cut, Detect, Dig, Double Kick, Double Team, Dragon Breath, Drain Punch, Endeavor, Endure, Energy Ball, Facade, False Swipe, Flash, Fling, Focus Punch, Fury Cutter, Giga Drain, Grass Knot, Grassy Terrain, Iron Tail, Leaf Blade, Leaf Storm, Leafage, Leech Seed, Leer, Low Sweep, Magical Leaf, Mega Drain, Night Slash, Pound, Protect, Quick Attack, Quick Guard, Rest, Rock Slide, Rock Smash, Rock Tomb, Safeguard, Screech, Slam, Slash, Sleep Talk, Solar Beam, Strength, Substitute, Sunny Day, Swagger, Swords Dance, Synthesis, Work Up, Worry Seed, X-Scissor"
0254,Sceptile,Grass,,530,70,85,65,105,85,52.2 kg (115.1 lbs),Overgrow,,Unburden,"Absorb, Assurance, Crunch, Crush Claw, Detect, Double Kick, Double Team, Dragon Breath, Dual Chop, Endeavor, Energy Ball, False Swipe, Frenzy Plant, Fury Cutter, Giga Drain, Grassy Terrain, Leaf Blade, Leaf Storm, Leafage, Leech Seed, Leer, Magical Leaf, Mega Drain, Night Slash, Pound, Quick Attack, Quick Guard, Screech, Slam, Slash, Synthesis, Worry Seed, X-Scissor"
0254,Sceptile,Grass,Dragon,630,70,110,75,145,85,52.2 kg (115.1 lbs),Overgrow,,Unburden,"Absorb, Assurance, Crunch, Crush Claw, Detect, Double Kick, Double Team, Dragon Breath, Dual Chop, Endeavor, Energy Ball, False Swipe, Frenzy Plant, Fury Cutter, Giga Drain, Grassy Terrain, Leaf Blade, Leaf Storm, Leafage, Leech Seed, Leer, Magical Leaf, Mega Drain, Night Slash, Pound, Quick Attack, Quick Guard, Screech, Slam, Slash, Synthesis, Worry Seed, X-Scissor"
0255,Torchic,Fire,,310,45,60,40,70,50,2.5 kg (5.5 lbs),Blaze,,Speed Boost,"Aerial Ace, Agility, Attract, Baton Pass, Bounce, Counter, Crush Claw, Curse, Cut, Detect, Dig, Double Team, Ember, Endure, Facade, Feather Dance, Feint, Fire Blast, Flame Charge, Flamethrower, Flare Blitz, Focus Energy, Growl, Last Resort, Low Kick, Night Slash, Overheat, Peck, Protect, Quick Attack, Rest, Reversal, Rock Slide, Rock Smash, Rock Tomb, Sand Attack, Scratch, Shadow Claw, Slash, Sleep Talk, Strength, Substitute, Sunny Day, Swagger, Swords Dance, Will-O-Wisp, Work Up"
0256,Combusken,Fire,Fighting,405,60,85,60,85,60,19.5 kg (43.0 lbs),Blaze,,Speed Boost,"Aerial Ace, Agility, Attract, Baton Pass, Blaze Kick, Bounce, Brick Break, Bulk Up, Counter, Crush Claw, Curse, Cut, Detect, Dig, Double Kick, Double Team, Ember, Endure, Facade, Feather Dance, Feint, Fire Blast, Flame Charge, Flamethrower, Flare Blitz, Fling, Focus Blast, Focus Energy, Focus Punch, Growl, Last Resort, Low Kick, Low Sweep, Night Slash, Overheat, Peck, Poison Jab, Protect, Quick Attack, Rest, Reversal, Rock Slide, Rock Smash, Rock Tomb, Sand Attack, Scratch, Shadow Claw, Slash, Sleep Talk, Strength, Substitute, Sunny Day, Swagger, Swords Dance, Will-O-Wisp, Work Up"
0257,Blaziken,Fire,Fighting,530,80,120,70,110,70,52.0 kg (114.6 lbs),Blaze,,Speed Boost,"Aerial Ace, Agility, Attract, Baton Pass, Blast Burn, Blaze Kick, Bounce, Brave Bird, Brick Break, Bulk Up, Bulldoze, Close Combat, Counter, Crush Claw, Curse, Cut, Detect, Dig, Double Kick, Double Team, Earthquake, Ember, Endure, Facade, Feather Dance, Feint, Fire Blast, Fire Punch, Flame Charge, Flamethrower, Flare Blitz, Fling, Focus Blast, Focus Energy, Focus Punch, Giga Impact, Growl, Hyper Beam, Last Resort, Low Kick, Low Sweep, Night Slash, Overheat, Peck, Poison Jab, Protect, Quick Attack, Rest, Reversal, Roar, Rock Climb, Rock Slide, Rock Smash, Rock Tomb, Sand Attack, Scratch, Shadow Claw, Slash, Sleep Talk, Solar Beam, Stone Edge, Strength, Substitute, Sunny Day, Swagger, Swords Dance, U-turn, Will-O-Wisp, Work Up"
0257,Blaziken,Fire,Fighting,630,80,160,80,130,80,52.0 kg (114.6 lbs),Blaze,,Speed Boost,"Aerial Ace, Agility, Attract, Baton Pass, Blast Burn, Blaze Kick, Bounce, Brave Bird, Brick Break, Bulk Up, Bulldoze, Close Combat, Counter, Crush Claw, Curse, Cut, Detect, Dig, Double Kick, Double Team, Earthquake, Ember, Endure, Facade, Feather Dance, Feint, Fire Blast, Fire Punch, Flame Charge, Flamethrower, Flare Blitz, Fling, Focus Blast, Focus Energy, Focus Punch, Giga Impact, Growl, Hyper Beam, Last Resort, Low Kick, Low Sweep, Night Slash, Overheat, Peck, Poison Jab, Protect, Quick Attack, Rest, Reversal, Roar, Rock Climb, Rock Slide, Rock Smash, Rock Tomb, Sand Attack, Scratch, Shadow Claw, Slash, Sleep Talk, Solar Beam, Stone Edge, Strength, Substitute, Sunny Day, Swagger, Swords Dance, U-turn, Will-O-Wisp, Work Up"
0258,Mudkip,Water,,310,50,70,50,50,50,7.6 kg (16.8 lbs),Torrent,,Damp,"Amnesia, Ancient Power, Attract, Avalanche, Bite, Blizzard, Counter, Curse, Dig, Double Team, Double-Edge, Endeavor, Endure, Facade, Growl, Hail, Hydro Pump, Ice Beam, Iron Tail, Mirror Coat, Mud-Slap, Protect, Rain Dance, Rest, Rock Slide, Rock Smash, Rock Throw, Rock Tomb, Scald, Screech, Sleep Talk, Sludge, Stomp, Strength, Substitute, Supersonic, Surf, Swagger, Tackle, Take Down, Uproar, Water Gun, Water Pulse, Waterfall, Whirlpool, Wide Guard, Work Up, Yawn"
0259,Marshtomp,Water,Ground,405,70,85,70,60,70,28.0 kg (61.7 lbs),Torrent,,Damp,"Amnesia, Ancient Power, Attract, Avalanche, Bite, Blizzard, Brick Break, Bulldoze, Counter, Curse, Dig, Double Team, Double-Edge, Earthquake, Endeavor, Endure, Facade, Fling, Growl, Hail, Hydro Pump, Ice Beam, Iron Tail, Mirror Coat, Mud Shot, Mud-Slap, Muddy Water, Protect, Rain Dance, Rest, Rock Slide, Rock Smash, Rock Throw, Rock Tomb, Scald, Screech, Sleep Talk, Sludge, Stealth Rock, Stomp, Strength, Substitute, Supersonic, Surf, Swagger, Tackle, Take Down, Uproar, Water Gun, Water Pulse, Waterfall, Whirlpool, Wide Guard, Work Up, Yawn"
0260,Swampert,Water,Ground,535,100,110,90,85,90,81.9 kg (180.6 lbs),Torrent,,Damp,"Amnesia, Ancient Power, Attract, Avalanche, Bite, Blizzard, Brick Break, Bulk Up, Bulldoze, Counter, Curse, Dig, Double Team, Double-Edge, Earthquake, Endeavor, Endure, Facade, Fling, Focus Blast, Focus Punch, Giga Impact, Growl, Hail, Hammer Arm, Hydro Cannon, Hydro Pump, Hyper Beam, Ice Beam, Iron Tail, Mirror Coat, Mud Shot, Mud-Slap, Muddy Water, Protect, Rain Dance, Rest, Roar, Rock Climb, Rock Slide, Rock Smash, Rock Throw, Rock Tomb, Scald, Screech, Sleep Talk, Sludge, Stealth Rock, Stomp, Stone Edge, Strength, Substitute, Supersonic, Surf, Swagger, Tackle, Take Down, Uproar, Water Gun, Water Pulse, Waterfall, Whirlpool, Wide Guard, Work Up, Yawn"
0260,Swampert,Water,Ground,635,100,150,110,95,110,81.9 kg (180.6 lbs),Torrent,,Damp,"Amnesia, Ancient Power, Attract, Avalanche, Bite, Blizzard, Brick Break, Bulk Up, Bulldoze, Counter, Curse, Dig, Double Team, Double-Edge, Earthquake, Endeavor, Endure, Facade, Fling, Focus Blast, Focus Punch, Giga Impact, Growl, Hail, Hammer Arm, Hydro Cannon, Hydro Pump, Hyper Beam, Ice Beam, Iron Tail, Mirror Coat, Mud Shot, Mud-Slap, Muddy Water, Protect, Rain Dance, Rest, Roar, Rock Climb, Rock Slide, Rock Smash, Rock Throw, Rock Tomb, Scald, Screech, Sleep Talk, Sludge, Stealth Rock, Stomp, Stone Edge, Strength, Substitute, Supersonic, Surf, Swagger, Tackle, Take Down, Uproar, Water Gun, Water Pulse, Waterfall, Whirlpool, Wide Guard, Work Up, Yawn"
0261,Poochyena,Dark,,220,35,55,35,30,30,13.6 kg (30.0 lbs),Run Away,Quick Feet,Rattled,"Assurance, Astonish, Attract, Bite, Covet, Crunch, Dark Pulse, Dig, Double Team, Embargo, Endure, Facade, Fire Fang, Headbutt, Howl, Ice Fang, Iron Tail, Leer, Mud-Slap, Nasty Plot, Odor Sleuth, Payback, Play Rough, Poison Fang, Protect, Rain Dance, Rest, Roar, Rock Smash, Sand Attack, Scary Face, Shadow Ball, Sleep Talk, Snarl, Substitute, Sucker Punch, Sunny Day, Swagger, Tackle, Take Down, Taunt, Thief, Thunder Fang, Torment, Yawn"
0262,Mightyena,Dark,,420,70,90,70,60,60,37.0 kg (81.6 lbs),Intimidate,Quick Feet,Moxie,"Assurance, Astonish, Attract, Bite, Covet, Crunch, Dark Pulse, Dig, Double Team, Endure, Facade, Fire Fang, Giga Impact, Headbutt, Howl, Hyper Beam, Ice Fang, Iron Tail, Leer, Mud-Slap, Nasty Plot, Payback, Play Rough, Poison Fang, Protect, Rain Dance, Rest, Roar, Rock Smash, Sand Attack, Scary Face, Shadow Ball, Sleep Talk, Snarl, Strength, Substitute, Sucker Punch, Sunny Day, Swagger, Tackle, Take Down, Taunt, Thief, Thunder Fang, Torment, Yawn"
0263,Zigzagoon,Normal,,240,38,30,41,30,41,17.5 kg (38.6 lbs),Pickup,Gluttony,Quick Feet,"Attract, Baby-Doll Eyes, Belly Drum, Blizzard, Charge Beam, Charm, Covet, Cut, Dig, Double Team, Double-Edge, Endure, Extreme Speed, Facade, Flail, Fling, Grass Knot, Growl, Headbutt, Helping Hand, Ice Beam, Iron Tail, Mud-Slap, Pin Missile, Protect, Rain Dance, Rest, Rock Smash, Sand Attack, Shadow Ball, Shock Wave, Simple Beam, Sleep Talk, Substitute, Sunny Day, Surf, Swagger, Tackle, Tail Whip, Take Down, Thief, Thunder, Thunder Wave, Thunderbolt, Tickle, Trick, Water Pulse, Work Up"
