Name,Description,Effect
Sniper,Powers up moves if they become critical hits.,Sniper increases the power of critical hits by 1.5×. This means a critical hit will deal 2.25× normal damage instead of 1.5×.
Snow Cloak,Raises evasion in a hailstorm.,Snow Cloak raises ability-bearer's evasion by 20% in a hail storm. It also gives immunity to damage by hail (if they are not already protected by being Ice type).
Snow Warning,The Pokémon summons a hailstorm in battle.,"Snow Warning creates a hailstorm when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via Air Lock or Cloud Nine or replaced by another weather condition."
Solar Power,"In sunshine, Sp. Atk is boosted but HP decreases.","During harsh sunlight, Solar Power raises the ability-bearer's Special Attack by 50%, but it also loses 1⁄8 of its maximum HP after each turn."
Solid Rock,Reduces damage from super-effective attacks.,Solid Rock reduces the damage taken from super-effective attacks by 25%.
Soul-Heart,Raises Special Attack when an ally faints.,Soul-Heart raises the bearer's Special Attack one stage when a teammate faints.
Soundproof,Gives immunity to sound-based moves.,"Soundproof grants the Pokémon immunity to all sound-based moves, preventing all damage and effects."
Speed Boost,Its Speed stat is gradually boosted.,"Its Speed stat is gradually boosted.
"
Stakeout,Deals double damage to Pokémon switching in.,Stakeout enables the Pokémon to deal twice the normal damage to any Pokémon that switches in or enters the field mid-battle.
Stall,The Pokémon moves after all other Pokémon do.,"The Pokémon moves after all other Pokémon do.
"
Stalwart,Ignores moves and abilities that draw in moves.,"Ignores moves and abilities that draw in moves.
"
Stamina,Raises Defense when attacked.,Stamina raises the bearer's Defense by one stage when it is attacked by any move.
Stance Change,Changes form depending on moves used.,"Stance Change is exclusive to Aegislash. When using a damage-dealing move, Aegislash switches to its Blade Forme. When using the move King's Shield, Aegislash switches to its Shield Forme."
Static,Contact with the Pokémon may cause paralysis.,"If a Pokémon with Static is hit by a move making contact, there is a 30% chance the foe will become paralyzed."
Steadfast,Raises Speed each time the Pokémon flinches.,"Raises Speed each time the Pokémon flinches.
"
Steam Engine,Drastically raises Speed when hit by a Fire- or Water-type move.,Steam Engine raises the user's Speed by three stages when it is hit by a Fire- or Water-type attack. The attack still deals damage.
Steelworker,Powers up Steel-type moves.,Steelworker increases the power of Steel-type moves used by this Pokémon by 50%.
Steely Spirit,Powers up ally Pokémon's Steel-type moves.,"Powers up ally Pokémon's Steel-type moves.
"
Stench,The stench may cause the target to flinch.,A Pokémon with Stench has a 10% chance of causing the opponent to flinch when hit by a damaging move (provided the ability-bearer strikes first as usual).
Sticky Hold,Protects the Pokémon from item theft.,Sticky Hold prevents held items from being taken or switched.
Storm Drain,Draws in all Water-type moves to up Sp. Attack.,"Storm Drain forces all single-target Water-type moves - used by any other Pokémon on the field - to target this Pokémon, and with 100% accuracy. The ability is most useful in double/triple battles."
Strong Jaw,Boosts the power of biting moves.,Strong Jaw increases the power of all biting moves by 50%.
Sturdy,It cannot be knocked out with one hit.,"Sturdy allows the Pokémon to survive with 1 HP if attacked at full HP with an attack that would otherwise knock it out. It also prevents One-Hit-KO moves (Fissure, Horn Drill, Guillotine or Sheer Cold)."
Suction Cups,Negates all moves that force switching out.,"Suction Cups prevents opponents forcing the ability-bearer to switch out or flee via the moves Roar, Whirlwind, Circle Throw, or Dragon Tail, or the item Red Card."
Super Luck,Heightens the critical-hit ratios of moves.,Super Luck raises the ability-bearer's critical-hit ratio by one stage (for most moves this increases from a 1⁄16 chance to 1⁄8).
Supreme Overlord,Attack and Special Attack are boosted for each party Pokémon that has been defeated.,"Attack and Special Attack are boosted for each party Pokémon that has been defeated.
"
Surge Surfer,Doubles Speed during Electric Terrain.,Surge Surfer doubles the bearer's Speed when Electric Terrain is active.
Swarm,Powers up Bug-type moves in a pinch.,Swarm increases the power of Bug-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch).
Sweet Veil,Prevents the Pokémon and allies from falling asleep.,"Sweet Veil prevents this Pokémon and its allies from falling asleep, for example from moves like Hypnosis."
Swift Swim,Boosts the Pokémon's Speed in rain.,Swift Swim doubles the ability-bearer's Speed during rain.
Sword of Ruin,Lowers Defense of all Pokémon except itself.,"Lowers Defense of all Pokémon except itself.
"
Symbiosis,The Pokémon can pass an item to an ally.,"The Pokémon can pass an item to an ally.
"
Synchronize,"Passes a burn, poison, or paralysis to the foe.","If the opponent causes a burn, paralysis, or poisoning of a Pokémon with Synchronize, the opponent receives the status condition too. Self-inflicted status conditions (for example through the use of an item) are not passed on."
Tablets of Ruin,Lowers Attack of all Pokémon except itself.,"Lowers Attack of all Pokémon except itself.
"
Tangled Feet,Raises evasion if the Pokémon is confused.,"Raises evasion if the Pokémon is confused.
"
Tangling Hair,Contact with the Pokémon lowers the attacker's Speed stat.,"Contact with the Pokémon lowers the attacker's Speed stat.
"
Technician,Powers up the Pokémon's weaker moves.,Technician increases the power of moves - that are usually base power 60 or below - by 50%.
Telepathy,Anticipates an ally's attack and dodges it.,Pokémon with the Telepathy ability will not take damage from teammates in double and triple battles.
Teravolt,Moves can be used regardless of Abilities.,"Teravolt prevents a target's ability from affecting moves that the Teravolt Pokémon uses. It only affects abilities that change the power, accuracy or other effects of moves."
Thermal Exchange,Raises Attack when hit by a Fire-type move. Cannot be burned.,"Raises Attack when hit by a Fire-type move. Cannot be burned.
"
Thick Fat,Ups resistance to Fire- and Ice-type moves.,Thick Fat reduces the damage taken from Fire-type and Ice-type moves by 50%.
Tinted Lens,Powers up “not very effective” moves.,"Powers up “not very effective” moves.
"
Torrent,Powers up Water-type moves in a pinch.,Torrent increases the power of Water-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch).
Tough Claws,Boosts the power of contact moves.,Tough Claws increases the power of moves that make contact.
Toxic Boost,Powers up physical attacks when poisoned.,"Powers up physical attacks when poisoned.
"
Toxic Debris,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.,"Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.
"
Trace,The Pokémon copies a foe's Ability.,"The Pokémon copies a foe's Ability.
"
Transistor,Powers up Electric-type moves.,Transistor increases the power of Electric-type moves used by this Pokémon by 50%.
Triage,Gives priority to restorative moves.,"Triage increases the priority of HP-restoring moves to +3, when used by the ability-bearer."
Truant,Pokémon can't attack on consecutive turns.,"Truant causes the ability-bearer to only attack every alternate turn. On the even turns, it will say the Pokémon is loafing around."
Turboblaze,Moves can be used regardless of Abilities.,"Turboblaze prevents a target's ability from affecting moves that the Turboblaze Pokémon uses. It only affects abilities that change the power, accuracy or other effects of moves."
Unaware,Ignores any stat changes in the Pokémon.,"Ignores any stat changes in the Pokémon.
"
Unburden,Raises Speed if a held item is used.,"Raises Speed if a held item is used.
"
Unnerve,Makes the foe nervous and unable to eat Berries.,"Makes the foe nervous and unable to eat Berries.
"
Unseen Fist,Contact moves can strike through Protect/Detect.,"Contact moves can strike through Protect/Detect.
"
Vessel of Ruin,Lowers Special Attack of all Pokémon except itself.,"Lowers Special Attack of all Pokémon except itself.
"
Victory Star,Boosts the accuracy of its allies and itself.,"Boosts the accuracy of its allies and itself.
"
Vital Spirit,Prevents the Pokémon from falling asleep.,Vital Spirit prevents the ability-bearer from falling asleep. This means that it also prevents the use of the move Rest.
Volt Absorb,Restores HP if hit by an Electric-type move.,"A Pokémon with Volt Absorb heals 1⁄4 of its maximum HP when hit by an Electric-type attack, including Thunder Wave."
Wandering Spirit,Swaps abilities with opponents on contact.,"Swaps abilities with opponents on contact.
"
Water Absorb,Restores HP if hit by a Water-type move.,A Pokémon with Water Absorb heals 1⁄4 of its maximum HP when hit by a Water-type attack.
Water Bubble,"Halves damage from Fire-type moves, doubles power of Water-type moves used, and prevents burns.","Water Bubble reduces damage taken from Fire-type moves by 50%, and doubles the power of Water-type moves used by the ability-bearer. It also prevents the Pokémon from being burned."
Water Compaction,Sharply raises Defense when hit by a Water-type move.,Water Compaction raises the bearer's Defense by 2 stages when it is hit by a Water-type move.
Water Veil,Prevents the Pokémon from getting a burn.,"Prevents the Pokémon from getting a burn.
"
Weak Armor,Physical attacks lower Defense and raise Speed.,"When a Pokémon with Weak Armor is hit by a physical move, its Defense drops one stage, but its Speed increases by one stage."
Well-Baked Body,"Immune to Fire-type moves, and Defense is sharply boosted.","Immune to Fire-type moves, and Defense is sharply boosted.
"
White Smoke,Prevents other Pokémon from lowering its stats.,"Prevents other Pokémon from lowering its stats.
Outside of battle
If a Pokémon with White Smoke is the leading party Pokémon, wild Pokémon are only half as likely to appear.
"
Wimp Out,Switches out when HP drops below half.,Wimp Out causes the bearer to switch out (or flee in a wild battle) when its HP falls below 50%.
Wind Power,"Doubles power of the next Electric-type move used, when hit by a wind move.","If a Pokémon with Wind Power is hit by a wind move, the power of the next Electric-type move it uses is doubled."
Wind Rider,"Takes no damage from wind moves, and boosts Attack if hit by one.","Wind Rider gives immunity to wind moves, and causes the Pokémon's Attack to increase by one stage when hit by one."
Wonder Guard,Only supereffective moves will hit.,"Wonder Guard prevents damage from direct attacks unless they are super-effective. Shedinja is the only Pokémon to have this ability so this means that only Fire, Flying, Rock, Ghost and Dark moves will have an effect."
Wonder Skin,Makes status-changing moves more likely to miss.,Wonder Skin halves the accuracy of all status moves targeted at the ability-bearer.
Zen Mode,Changes form when HP drops below half.,Zen Mode changes the ability-bearer's form to Zen Mode when their health falls below 50%.
Zero to Hero,Transforms into its Hero Form when switching out.,"Transforms into its Hero Form when switching out.
"
